Isin,Name,Asset,Region,Volatility,Strategy
IE00BFNM3N12,iShares MSCI EM IMI ESG Screened UCITS ETF USD (Dist),Equity,Emerging Markets,14.56,Long-only
IE00B4NCWG09,iShares Physical Silver ETC,Precious Metals,,24.93,Long-only
LU1708330235,Amundi Index J.P. Morgan GBI Government Bond Global UCITS ETF DR EUR Hedged,Bonds,World,5.04,Long-only
LU1852211215,UBS ETF (LU) Sustainable Development Bank Bonds UCITS ETF (USD) A-acc,Bonds,World,8.82,Long-only
IE00BYYHSM20,iShares MSCI Europe Quality Dividend ESG UCITS ETF EUR (Dist),Equity,Europe,12.63,Long-only
IE00BK5BR626,Vanguard FTSE All-World High Dividend Yield UCITS ETF Acc,Equity,World,11.42,Long-only
LU0335044896,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1D,Money Market,Europe,0.17,Long-only
LU2098179695,UBS ETF (LU) Bloomberg Japan Treasury 1-3 Year Bond UCITS ETF (JPY) A-acc,Bonds,,10.27,Long-only
IE00B42Z5J44,iShares MSCI Japan EUR Hedged UCITS ETF (Acc),Equity,,19.38,Long-only
IE00BDVPNG13,WisdomTree Artificial Intelligence UCITS ETF USD Acc,Equity,World,25.24,Long-only
FR0011550193,BNP Paribas Easy STOXX Europe 600 UCITS ETF,Equity,Europe,14.42,Long-only
IE00BHZPJ122,iShares MSCI EM ESG Enhanced UCITS ETF USD (Dist),Equity,Emerging Markets,14.88,Long-only
DE0005933972,iShares TecDAX UCITS ETF (DE),Equity,,19.31,Long-only
LU0136240974,UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis,Equity,,18.24,Long-only
IE00B3VWN179,iShares USD Treasury Bond 1-3yr UCITS ETF (Acc),Bonds,,8.2,Long-only
LU0252633754,Amundi DAX III UCITS ETF Acc,Equity,,17.75,Long-only
FR0010756114,Amundi ETF MSCI World ex EMU UCITS ETF EUR (C),Equity,World,14.95,Long-only
